"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"305",301,"Havard Nordtveit","NOR","CB","Hoffenheim",30,1990,8,6,616,6.8,0,0,0,1,0,0.2,0.2,0.3,NA
"306",302,"Kasim Nuhu","GHA","CB","Hoffenheim",25,1995,9,8,717,8,0,0,0,0,0,0.5,0.5,0,NA
"307",303,"Bastian Oczipka","GER","CB","Schalke",32,1989,17,14,1301,14.5,0,1,0,1,0,0.2,0.2,1.3,4.86
"308",304,"Dani Olmo","ESP","W","Leipzig",22,1998,19,15,1304,14.5,2,5,0,1,0,3.3,3.3,2.5,3.25
"309",305,"Karim Onisiwo","AUT","W","Mainz",28,1992,18,8,912,10.1,1,0,0,2,0,1.9,1.9,0.7,4
"310",306,"Willi Orban","HUN","CB","Leipzig",28,1992,16,12,1193,13.3,2,0,0,3,0,1.5,1.5,0.3,3.04
"311",307,"Stefan Ortega","GER","GK","Arminia",28,1992,19,19,1710,19,0,1,0,1,0,0,0,0.4,2.89
"312",308,"Yuya Osako","JPN","FW","Werder",30,1990,14,6,541,6,0,1,0,3,0,0.4,0.4,1.2,NA
"313",309,"Paulo Otávio","BRA","FB","Wolfsburg",26,1994,13,9,847,9.4,0,0,0,3,0,0.2,0.2,0.5,NA
"314",310,"Reece Oxford"," ENG","CB","Augsburg",22,1998,12,7,676,7.5,0,0,0,1,0,0.3,0.3,0.1,NA
"315",311,"Salih Özcan","GER","CM","Koeln",23,1998,17,10,891,9.9,0,1,0,2,0,0.2,0.2,0.5,3.95
"316",312,"Levin Öztunali","GER","WB","Mainz",24,1996,13,7,682,7.6,1,2,0,0,0,0.6,0.6,0.9,NA
"317",313,"Gonçalo Paciencia","POR","FW","Schalke",26,1994,8,7,558,6.2,1,0,0,2,0,1.2,1.2,0.3,NA
"318",314,"Exequiel Palacios","ARG","CM","Leverkusen",22,1998,3,1,87,1,0,0,0,0,0,0.1,0.1,0.1,NA
"319",315,"Matondo-Merveille Papela","GER","CB","Mainz",20,2001,1,0,2,0,0,0,0,0,0,0,0,0,NA
"320",316,"Felix Passlack","GER","FB","Dortmund",22,1998,6,3,346,3.8,1,0,0,0,0,0.9,0.9,0.2,NA
"321",317,"Benjamin Pavard","FRA","FB","Bayern",24,1996,14,13,1117,12.4,0,0,0,2,0,0.3,0.3,0.4,4.27
"322",318,"Jiøí Pavlenka","CZE","GK","Werder",28,1992,19,19,1710,19,0,0,0,2,0,0,0,0,3.21
"323",319,"Mads Pedersen","DEN","FB","Augsburg",24,1996,4,2,219,2.4,0,0,0,0,0,0,0,0.4,NA
"324",320,"Peter Pekarík","SVK","FB","Hertha",34,1986,18,17,1254,13.9,2,1,0,3,0,1.1,1.1,0.9,3.38
"325",321,"Philipp Pentke","GER","GK","Hoffenheim",35,1985,1,1,90,1,0,0,0,0,0,0,0,0,NA
"326",322,"Pavao Pervan","AUT","GK","Wolfsburg",33,1987,1,1,90,1,0,0,0,0,0,0,0,0,NA
"327",323,"Nils Petersen","GER","FW","Freiburg",32,1988,19,8,884,9.8,7,0,1,0,0,5.4,4.7,1.3,3.68
"328",324,"Maximilian Philipp","GER","AM","Wolfsburg",26,1994,11,7,558,6.2,1,2,0,2,0,1.1,1.1,0.5,NA
"329",325,"Krzysztof Pi¹tek","POL","FW","Hertha",25,1995,19,10,956,10.6,5,1,0,3,0,3.7,3,1,3.96
"330",326,"Amos Pieper","GER","CB","Arminia",23,1998,16,16,1422,15.8,0,0,0,1,0,0.1,0.1,0.3,3.62
"331",327,"£ukasz Piszczek","POL","FB","Dortmund",35,1985,5,1,59,0.7,0,0,0,0,0,0,0,0,NA
"332",328,"Marvin Plattenhardt","GER","FB","Hertha",29,1992,11,9,741,8.2,0,0,0,1,0,0.1,0.1,0.5,NA
"333",329,"Alassane Pléa","FRA","FW","Moenchengladbach",27,1993,15,9,873,9.7,3,1,0,1,0,2.7,2.7,1.1,3.41
"334",330,"Joel Pohjanpalo","FIN","FW","Leverkusen",26,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,NA
"335",330,"Joel Pohjanpalo","FIN","FW","Union",26,1994,6,3,261,2.9,2,0,0,0,0,2.8,2.8,0,NA
"336",331,"Marin Pongraèiæ","CRO","CB","Wolfsburg",23,1997,5,4,273,3,0,0,0,0,0,0,0,0,NA
"337",332,"Stefan Posch","AUT","CB","Hoffenheim",23,1997,15,15,1257,14,0,0,0,8,1,0.6,0.6,0.5,3.63
"338",333,"Yussuf Poulsen","DEN","FW","Leipzig",26,1994,16,8,758,8.4,4,2,0,1,0,3.3,3.3,1.3,NA
"339",334,"Manuel Prietl","AUT","DM","Arminia",29,1991,13,13,1167,13,1,0,0,1,0,0.4,0.4,0,3.65
"340",335,"Grischa Prömel","GER","CM","Union",26,1995,13,12,1067,11.9,1,1,0,5,0,0.6,0.6,0.5,3.27
"341",336,"Robin Quaison","SWE","W","Mainz",27,1993,19,15,1172,13,2,1,0,1,0,2.7,2.7,1.8,4.23
"342",337,"Benito Raman","BEL","W","Schalke",26,1994,16,10,889,9.9,2,0,0,2,0,2.1,2,1.3,4.32
"343",338,"Milot Rashica","KVX","W","Werder",24,1996,9,3,381,4.2,0,1,0,0,0,0.8,0.8,0.6,NA
"344",339,"Daishawn Redan","NED","W","Hertha",20,2001,6,0,70,0.8,0,0,0,0,0,0,0,0,NA
"345",340,"Reinier","BRA","AM","Dortmund",19,2002,4,0,74,0.8,0,0,0,0,0,0.1,0.1,0,NA
"346",341,"Rocco Reitz","GER","CM","Moenchengladbach",18,2002,1,1,59,0.7,0,0,0,0,0,0,0,0.1,NA
"347",342,"Marco Reus","GER","W","Dortmund",31,1989,18,14,1235,13.7,3,4,0,1,0,5.6,3.9,5.9,3.5
"348",343,"Elvis Rexhbeçaj","GER","CM","Koeln",23,1997,18,12,1115,12.4,3,2,0,2,0,1.1,1.1,1.7,4.12
"349",344,"Gio Reyna","USA","AM","Dortmund",18,2002,18,13,1193,13.3,3,4,0,1,0,2.1,2.1,2.7,3.15
"350",345,"Chris Richards","USA","CB","Bayern",20,2000,3,1,89,1,0,1,0,0,0,0,0,0.3,NA
"351",346,"Marco Richter","GER","W","Augsburg",23,1997,14,7,672,7.5,2,0,0,3,1,2.4,2.4,0.4,NA
"352",347,"Marc Roca","ESP","CM","Bayern",24,1996,3,1,90,1,0,0,0,1,0,0.1,0.1,0,NA
"353",348,"Sebastian Rode","GER","DM","Eintracht",30,1990,14,10,874,9.7,1,0,0,5,0,0.1,0.1,1,3.15
"354",349,"Jérôme Roussillon","FRA","FB","Wolfsburg",28,1993,12,11,928,10.3,0,1,0,0,0,0.4,0.4,1.3,3.5
"355",350,"Sebastian Rudy","GER","DM","Schalke",30,1990,2,2,180,2,0,0,0,0,0,0,0,0.1,3.54
"356",350,"Sebastian Rudy","GER","DM","Hoffenheim",30,1990,14,12,968,10.8,1,1,0,2,0,0.4,0.4,1,3.54
"357",351,"Julian Ryerson","NOR","FB","Union",23,1997,14,4,481,5.3,0,0,0,1,0,0.1,0.1,0.4,NA
"358",352,"Frederik Ronnow","DEN","GK","Schalke",28,1992,7,6,585,6.5,0,0,0,0,0,0,0,0,NA
"359",353,"Joao Victor Santos Sá","BRA","W","Wolfsburg",26,1994,11,2,259,2.9,0,1,0,0,0,0.4,0.4,0.8,NA
"360",354,"Marcel Sabitzer","AUT","CM","Leipzig",26,1994,15,13,1083,12,3,1,3,2,0,3.4,1.1,1,2.96
"361",355,"Roland Sallai","HUN","W","Freiburg",23,1997,16,13,957,10.6,5,1,0,2,0,3.8,3.8,0.5,3.38
"362",356,"Lazar Samardzic","GER","W","Leipzig",18,2002,5,2,178,2,0,1,0,0,0,0,0,0.5,NA
"363",357,"Diadie Samassékou","MLI","CM","Hoffenheim",25,1996,17,17,1428,15.9,0,1,0,0,0,0.4,0.4,0.6,3.29
"364",358,"Jadon Sancho"," ENG","W","Dortmund",20,2000,17,17,1410,15.7,3,7,0,0,0,4.5,4.5,4.3,3.56
"365",359,"Leroy Sané","GER","W","Bayern",25,1996,17,8,868,9.6,4,5,0,1,0,2.6,2.6,3.7,3.85
"366",360,"Salif Sané","SEN","CB","Schalke",30,1990,9,8,765,8.5,0,0,0,4,0,0.4,0.4,0.3,NA
"367",361,"Baptiste Santamaria","FRA","CM","Freiburg",25,1995,16,16,1267,14.1,1,1,0,2,0,1.5,1.5,0.6,3.37
"368",362,"Josh Sargent","USA","FW","Werder",20,2000,18,17,1461,16.2,2,2,0,3,0,2.7,2.7,1.6,4.06
"369",363,"Bouna Sarr","GUI","CB","Bayern",29,1992,3,3,270,3,0,1,0,0,0,0.1,0.1,0.1,NA
"370",364,"Patrik Schick","CZE","FB","Leverkusen",25,1996,14,10,853,9.5,5,1,0,1,0,3.9,3.9,0.7,3.55
"371",365,"Sven Schipplock","GER","FW","Arminia",32,1988,19,5,611,6.8,1,0,0,3,0,0.8,0.8,0.9,NA
"372",366,"Xaver Schlager","AUT","CM","Wolfsburg",23,1997,18,16,1451,16.1,1,1,0,4,0,1.4,1.4,2.1,3.31
"373",367,"Keven Schlotterbeck","GER","CB","Freiburg",23,1997,12,11,1026,11.4,0,0,0,1,0,0.4,0.4,0.2,3.42
"374",368,"Nico Schlotterbeck","GER","CB","Union",21,1999,4,4,336,3.7,1,0,0,1,0,0.4,0.4,0,NA
"375",369,"Jonathan Schmid","FRA","WB","Freiburg",30,1990,16,15,1260,14,0,2,0,2,0,0.7,0.7,1.3,3.6
"376",370,"Romano Schmid","AUT","W","Werder",21,2000,10,6,476,5.3,0,1,0,1,0,0.2,0.2,0.4,NA
"377",371,"Benno Schmitz","GER","FB","Koeln",26,1994,5,1,109,1.2,0,0,0,0,0,0,0,0,NA
"378",372,"Alessandro Schöpf","AUT","W","Schalke",26,1994,13,7,655,7.3,0,0,0,0,0,0.2,0.2,0,3.17
"379",373,"Nico Schulz","GER","WB","Dortmund",27,1993,6,1,144,1.6,0,0,0,0,0,0.1,0.1,0,NA
"380",374,"Alexander Schwolow","GER","GK","Hertha",28,1992,18,18,1620,18,0,0,0,0,0,0,0,0,NA
"381",375,"Davie Selke","GER","FW","Werder",26,1995,11,3,370,4.1,3,0,1,4,0,1.7,1,0.2,NA
"382",376,"Suat Serdar","GER","CM","Schalke",23,1997,13,13,1026,11.4,0,2,0,2,0,1,1,0.8,4.09
"383",377,"Ryan Sessegnon"," ENG","WB","Hoffenheim",20,2000,11,9,826,9.2,2,2,0,2,0,0.4,0.4,0.8,NA
"384",378,"Nils Seufert","GER","CM","Arminia",24,1997,11,2,298,3.3,0,1,0,1,0,0,0,0.3,NA
"385",379,"André Silva","POR","FW","Eintracht",25,1995,18,18,1538,17.1,16,2,6,0,0,14.1,9.6,3.3,2.75
"386",380,"Jóan Símun Edmundsson","FRO","W","Arminia",29,1991,5,0,58,0.6,1,0,0,0,0,0.5,0.5,0,NA
"387",381,"Daley Sinkgraven","NED","FB","Leverkusen",25,1995,17,15,1229,13.7,0,0,0,3,0,0.4,0.4,0.4,3.63
"388",382,"Tobias Sippel","GER","GK","Moenchengladbach",32,1988,1,1,90,1,0,0,0,0,0,0,0,0,NA
"389",383,"Ellyes Skhiri","TUN","DM","Koeln",25,1995,18,18,1552,17.2,3,1,0,3,0,2,2,0.5,3.86
"390",384,"Robert Skov","DEN","WB","Hoffenheim",24,1996,11,5,637,7.1,0,0,0,0,1,1,1,1,NA
"391",385,"Steven Skrzybski","GER","W","Schalke",28,1992,9,3,369,4.1,0,0,0,2,0,1.3,0.5,0.1,NA
"392",386,"Yann Sommer","SUI","GK","Moenchengladbach",32,1988,18,18,1620,18,0,0,0,1,0,0,0,0,2.97
"393",387,"Borna Sosa","CRO","WB","Stuttgart",23,1998,15,14,1128,12.5,0,4,0,1,0,0.4,0.4,3.2,3.2
"394",388,"Cebio Soukou","BEN","W","Arminia",28,1992,11,5,423,4.7,1,0,0,2,0,0.7,0.7,0.1,NA
"395",389,"Djibril Sow","SUI","CM","Eintracht",23,1997,15,12,1091,12.1,0,2,0,4,0,0.4,0.4,1.1,3.08
"396",390,"Jerry St. Juste","NED","CB","Mainz",24,1996,17,17,1530,17,0,0,0,3,0,0.8,0.8,0.2,3.79
"397",391,"Benjamin Stambouli","FRA","DM","Schalke",30,1990,14,14,1170,13,0,1,0,4,0,0,0,0.4,4.64
"398",392,"Niklas Stark","GER","DM","Hertha",25,1995,19,19,1700,18.9,0,0,0,1,0,0.7,0.7,0.1,3.5
"399",393,"Renato Steffen","SUI","W","Wolfsburg",29,1991,16,14,1182,13.1,3,4,0,2,0,3.2,3.2,2,3.47
"400",394,"Pascal Stenzel","GER","CM","Stuttgart",24,1996,15,12,1027,11.4,0,0,0,3,1,0,0,0.2,NA
"401",395,"Lars Stindl","GER","FW","Moenchengladbach",32,1988,19,14,1175,13.1,9,4,5,3,0,6.7,2.9,4.4,2.83
"402",396,"Kevin Stöger","AUT","CM","Mainz",27,1993,11,3,360,4,1,0,0,2,0,1,1,0.8,NA
"403",397,"Tobias Strobl","GER","DM","Augsburg",30,1990,18,12,1093,12.1,0,0,0,2,0,0.3,0.3,0.8,3.77
"404",398,"Marek Suchý","CZE","CB","Augsburg",32,1988,2,1,91,1,0,0,0,0,0,0,0,0,NA
"405",399,"Niklas Süle","GER","CB","Bayern",25,1995,12,8,804,8.9,1,0,0,1,0,0.7,0.7,0.1,3.35
"406",400,"Ádám Szalai","HUN","FW","Mainz",33,1987,6,0,78,0.9,0,0,0,0,0,0,0,0,NA
"407",401,"Frederik Sorensen","DEN","CB","Koeln",28,1992,3,1,99,1.1,0,0,0,2,0,0,0,0.1,NA
"408",402,"Alexander Sorloth","NOR","FW","Leipzig",25,1995,17,7,816,9.1,1,1,0,2,0,3.2,2.4,1,NA
"409",403,"Jonathan Tah","GER","CB","Leverkusen",24,1996,14,12,1122,12.5,1,0,0,2,0,0.2,0.2,0,3.19
"410",404,"Edmond Tapsoba","BFA","CB","Leverkusen",22,1999,17,15,1392,15.5,0,0,0,0,0,0.6,0.6,0.1,2.8
"411",405,"Niklas Tauer","GER","DM","Mainz",19,2001,4,0,58,0.6,0,0,0,0,0,0,0,0,NA
"412",406,"Lino Tempelmann","GER","DM","Freiburg",22,1999,8,2,231,2.6,0,0,0,2,0,0.1,0.1,0,NA
"413",407,"Cedric Teuchert","GER","W","Union",24,1997,15,4,525,5.8,3,1,0,0,0,2.8,2.8,0.9,NA
"414",408,"Malick Thiaw","FIN","CB","Schalke",19,2001,8,5,540,6,1,0,0,2,0,0.3,0.3,0.1,NA
"415",409,"Jan Thielmann","GER","FW","Koeln",18,2002,16,8,757,8.4,2,2,0,0,0,0.9,0.9,0.3,4
"416",410,"Erik Thommy","GER","W","Stuttgart",26,1994,1,0,7,0.1,0,0,0,0,0,0,0,0,NA
"417",411,"Marcus Thuram","FRA","W","Moenchengladbach",23,1997,15,8,808,9,3,1,0,3,1,3.2,3.2,0.4,3.7
"418",412,"Steffen Tigges","GER","FW","Dortmund",22,1998,4,0,22,0.2,0,0,0,0,0,0.1,0.1,0,NA
"419",413,"Guus Til","NED","CM","Freiburg",23,1997,3,0,22,0.2,0,0,0,0,0,0,0,0,NA
"420",414,"Corentin Tolisso","FRA","CM","Bayern",26,1994,12,6,625,6.9,0,0,0,0,1,2,2,0.4,NA
"421",415,"Ömer Toprak","TUR","CB","Werder",31,1989,15,13,1042,11.6,2,0,0,0,0,0.8,0.8,0,3.15
"422",416,"Jordan Torunarigha","GER","CB","Hertha",23,1997,7,7,630,7,0,0,0,2,0,0,0,0.4,NA
"423",417,"Almamy Touré","MLI","CB","Eintracht",24,1996,12,7,567,6.3,0,1,0,1,0,0.6,0.6,1.2,NA
"424",418,"Lucas Tousart","FRA","CM","Hertha",23,1997,15,14,1149,12.8,0,0,0,4,0,1,1,0.2,3.96
"425",419,"Ibrahima Traoré","GUI","W","Moenchengladbach",32,1988,5,1,84,0.9,0,0,0,0,0,0,0,0.2,NA
"426",420,"Kevin Trapp","GER","GK","Eintracht",30,1990,19,19,1710,19,0,0,0,0,0,0,0,0,3
"427",421,"Christopher Trimmel","AUT","WB","Union",33,1987,16,16,1357,15.1,0,6,0,5,0,0.1,0.1,2.3,3.41
"428",422,"Tuta","BRA","CB","Eintracht",21,1999,6,5,478,5.3,0,0,0,2,0,0,0,0,NA
"429",423,"Dayot Upamecano","FRA","CB","Leipzig",22,1998,18,18,1510,16.8,1,0,0,3,0,0.5,0.5,0.1,3.03
"430",424,"Mark Uth","GER","AM","Schalke",29,1991,15,15,1254,13.9,2,1,0,4,0,2,2,1,4.14
"431",425,"Ruben Vargas","SUI","W","Augsburg",22,1998,17,11,1044,11.6,3,2,0,2,0,1.5,1.5,1.5,3.89
"432",426,"Miloš Veljkoviæ","SRB","CB","Werder",25,1995,12,10,946,10.5,0,0,0,0,0,0.3,0.3,0,3.55
"433",427,"Andreas Voglsammer","GER","W","Arminia",29,1992,3,0,50,0.6,0,0,0,0,0,0,0,0,NA
"434",428,"Kevin Vogt","GER","CB","Hoffenheim",29,1991,16,15,1307,14.5,0,1,0,4,0,0,0,0.6,3.47
"435",429,"Silas Wamangituka","COD","WB","Stuttgart",21,1999,18,17,1382,15.4,11,3,3,5,0,6.8,4.5,3.4,2.79
"436",430,"Wout Weghorst","NED","FW","Wolfsburg",28,1992,19,18,1615,17.9,13,1,2,3,0,11.5,9.4,2.3,3.14
"437",431,"Mitchell Weiser","GER","FB","Leverkusen",26,1994,5,2,226,2.5,1,0,0,0,0,0.1,0.1,0,NA
"438",432,"Wendell","BRA","FB","Leverkusen",27,1993,8,4,442,4.9,0,0,0,0,0,0,0,0,NA
"439",433,"Oscar Wendt","SWE","FB","Moenchengladbach",35,1985,13,10,874,9.7,1,0,0,3,0,0.6,0.6,0.8,NA
"440",434,"William","BRA","WB","Wolfsburg",25,1995,2,0,2,0,0,0,0,0,0,0,0,0,NA
"441",434,"William","BRA","WB","Schalke",25,1995,1,0,21,0.2,0,0,0,0,0,0,0,0,NA
"442",435,"Florian Wirtz","GER","AM","Leverkusen",17,2003,16,15,1319,14.7,3,5,0,1,0,2.6,2.6,2.4,3
"443",436,"Axel Witsel","BEL","CM","Dortmund",32,1989,15,13,1130,12.6,0,0,0,4,0,1,1,0.6,3.5
"444",437,"Hannes Wolf","AUT","W","Moenchengladbach",21,1999,19,8,808,9,2,0,0,0,0,1.1,1.1,1.3,NA
"445",438,"Marius Wolf","GER","WB","Koeln",25,1995,17,16,1463,16.3,2,1,0,2,0,2.1,2.1,1.4,3.71
"446",439,"Nick Woltemade","GER","FW","Werder",18,2002,6,1,147,1.6,0,1,0,1,0,0.6,0.6,0.3,NA
"447",440,"Jeong Woo-yeong","KOR","W","Freiburg",21,1999,14,3,442,4.9,2,0,0,0,0,1.4,1.4,0.8,NA
"448",441,"Joscha Wosz","GER","W","Leipzig",18,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,NA
"449",442,"Reinhold Yabo","GER","W","Arminia",28,1992,13,8,647,7.2,1,0,0,1,0,0.6,0.6,0,4.4
"450",443,"Amin Younes","GER","AM","Eintracht",27,1993,13,8,732,8.1,2,1,0,2,0,2.3,2.3,1,2.91
"451",444,"Dan-Axel Zagadou","FRA","CB","Dortmund",21,1999,6,2,168,1.9,0,0,0,0,0,0,0,0,NA
"452",445,"Denis Zakaria","SUI","DM","Moenchengladbach",24,1996,12,7,626,7,1,0,0,3,0,0.5,0.5,0.3,NA
"453",446,"Deyovaisio Zeefuik","NED","FB","Hertha",22,1998,12,2,352,3.9,0,0,0,2,1,0,0,0.2,NA
"454",447,"Robin Zentner","GER","GK","Mainz",26,1994,18,18,1620,18,0,0,0,1,0,0.1,0.1,0,3.03
"455",448,"Ron-Robert Zieler","GER","GK","Koeln",31,1989,1,0,51,0.6,0,0,0,0,0,0,0,0,NA
"456",449,"Joshua Zirkzee","NED","FW","Bayern",19,2001,3,1,92,1,0,0,0,0,0,0.4,0.4,0.2,NA
"457",450,"Steven Zuber","SUI","WB","Eintracht",29,1991,9,5,450,5,0,1,0,1,0,0.2,0.2,0.6,NA
