"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"152",150,"Florian Grillitsch","AUT","CM","Hoffenheim",25,1995,11,8,633,7,2,0,0,3,1,1.4,1.4,1,NA
"153",151,"Christian Groß","GER","DM","Werder",31,1989,13,10,883,9.8,0,1,0,4,0,0.2,0.2,0.5,3.75
"154",152,"Ilia Gruev","BUL","FW","Werder",20,2000,1,0,1,0,0,0,0,0,0,0,0,0,NA
"155",153,"Carlos Gruezo","ECU","DM","Augsburg",25,1995,18,16,1389,15.4,0,0,0,3,0,0.2,0.2,0.5,3.97
"156",154,"Mattéo Guendouzi","FRA","CM","Hertha",21,1999,14,13,1202,13.4,2,0,0,3,0,0.6,0.6,0.3,3.54
"157",155,"Raphaël Guerreiro","POR","WB","Dortmund",27,1993,16,14,1235,13.7,2,7,0,1,0,2.1,2.1,4.4,3.36
"158",156,"Josuha Guilavogui","FRA","DM","Wolfsburg",30,1990,11,6,551,6.1,0,0,0,2,0,0.1,0.1,0.1,NA
"159",157,"Péter Gulácsi","HUN","GK","Leipzig",30,1990,19,19,1710,19,0,0,0,0,0,0,0,0,3
"160",158,"Manuel Gulde","GER","CB","Freiburg",29,1991,15,13,1112,12.4,1,0,0,2,0,0.9,0.9,0,3.35
"161",159,"Robert Gumny","POL","FB","Augsburg",22,1998,11,4,417,4.6,0,0,0,2,0,0.2,0.2,0,NA
"162",160,"Christian Günter","GER","WB","Freiburg",27,1993,19,19,1710,19,0,2,0,0,0,0.5,0.5,3.2,3.24
"163",161,"Janik Haberer","GER","CM","Freiburg",26,1994,4,2,175,1.9,0,0,0,0,0,0.2,0.2,0,NA
"164",162,"Alexander Hack","GER","CB","Mainz",27,1993,12,11,984,10.9,1,0,0,1,0,0.2,0.2,0.4,3.68
"165",163,"André Hahn","GER","W","Augsburg",30,1990,15,11,874,9.7,4,1,0,1,0,2.3,2.3,0.4,3.77
"166",164,"Amadou Haidara","MLI","DM","Leipzig",23,1998,17,12,1024,11.4,1,1,0,2,0,2.7,2.7,1,3.38
"167",165,"Erling Haaland","NOR","FW","Dortmund",20,2000,14,13,1181,13.1,14,2,1,2,0,11.6,10,2.6,2.82
